南京绿泉餐饮管理有限公司,江苏省南京市,李先生,,2568665601,11,保密,无,否,否,否,否,否,https://web.tansent.com/2822/
济南杰成餐饮服务有限公司,山东省济南市,陈经理,13515317470,0531-88890657、0531-88890657、13515317470,11,保密,无,否,否,否,否,否,https://web.tansent.com/2838/
四川品香四季餐饮有限公司,四川省成都市,伍美燕,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/2840/
上海富伟餐饮管理有限公司,江苏省南京市,花梅,,2586368061,11,保密,无,否,否,否,否,否,https://web.tansent.com/2850/
宁波市鄞州景顺餐饮管理有限公司,浙江省宁波市,岳陈,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/2859/
武汉天天嘉食堂（连锁）管理有限公司,湖北省武汉市,老周,13871194668,13871194668,11,保密,无,否,否,否,否,否,https://web.tansent.com/2860/
天津市阳升企业管理服务有限公司上海分公司,上海市市辖区,ROCKY,,021-63186805,11,保密,无,否,否,否,否,否,https://web.tansent.com/2878/
北京未名鼎华餐饮管理有限公司,北京市市辖区,郭强,,010-82038508,11,保密,无,否,否,否,否,否,https://web.tansent.com/2889/
金华市三联餐饮管理有限公司,浙江省金华市,吴贤刚,15905893817,15905893817,11,保密,无,否,否,否,否,否,https://web.tansent.com/2891/
宁波源诚餐饮管理有限公司,浙江省宁波市,成先生,18674852779,18674852779,11,保密,无,否,否,否,否,否,https://web.tansent.com/2894/
昆山溢沣团膳有限公司,江苏省苏州市,唐慧,13405120235,13405120235,11,保密,无,否,否,否,否,否,https://web.tansent.com/2903/
湖南尚禧餐饮文化管理有限公司,湖南省长沙市,彭建勇,,0731-88411988,11,保密,无,否,否,否,否,否,https://web.tansent.com/2908/
东莞兴荣膳食管理服务有限公司,广东省东莞市,施先生,,0769-88908876,11,保密,无,否,否,否,否,否,https://web.tansent.com/2911/
中山市南北饮食管理有限公司,广东省中山市,王烈深,,0760-86368513,11,保密,无,否,否,否,否,否,https://web.tansent.com/2920/
北京锦鸿春餐饮管理有限公司,北京市市辖区,张衍军,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/2924/
海宁城市田园餐饮服务有限责任公司,浙江省嘉兴市,汪清文,,0573-87961049,11,保密,无,否,否,否,否,否,https://web.tansent.com/2940/
深圳市富源隆饮食管理有限公司,广东省深圳市,孙小姐,,0755-29988923,11,保密,无,否,否,否,否,否,https://web.tansent.com/2942/
温岭市宏展餐饮管理有限公司,浙江省台州市,罗富春,57684067515,57684067515,11,保密,无,否,否,否,否,否,https://web.tansent.com/2943/
深圳市百乐餐饮管理有限公司,广东省深圳市,郑毅伟,,0755-27393852,11,保密,无,否,否,否,否,否,https://web.tansent.com/2951/
深圳市百立勤餐饮策划管理有限公司,广东省深圳市,李生,75521638988,75521638988,11,保密,无,否,否,否,否,否,https://web.tansent.com/2955/
广州市东江饮食配餐服务有限公司,广东省广州市,邓小姐,,020-34354388,11,保密,无,否,否,否,否,否,https://web.tansent.com/2956/
苏州食尚达人餐饮管理有限公司,江苏省常州市,汪杰,,0519-89186895,11,保密,无,否,否,否,否,否,https://web.tansent.com/2959/
东莞市台诚膳食管理服务有限公司,广东省东莞市,陈灿,13428589346,13428589346,11,保密,无,否,否,否,否,否,https://web.tansent.com/2961/
广州和本健康食品有限公司,广东省广州市,陈水庆,,020-32032318,11,保密,无,否,否,否,否,否,https://web.tansent.com/2972/
广州食唯上餐饮企业管理有限公司,广东省广州市,彭先生,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/2976/
嘉兴市至君餐饮管理有限公司,浙江省嘉兴市,朱经理,,0573-82060712,11,保密,无,否,否,否,否,否,https://web.tansent.com/2982/
济南昊林餐饮管理有限公司,山东省济南市,娄军,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/3015/
东莞市康龙膳食管理服务有限公司,广东省东莞市,石志杰,,0769-87197222,11,保密,无,否,否,否,否,否,https://web.tansent.com/3016/
上海良信后勤管理服务有限公司,上海市市辖区,姜凌,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/3034/
上海益馨餐饮管理有限公司,上海市市辖区,张先生,13816235778,13816235778,11,保密,无,否,否,否,否,否,https://web.tansent.com/3035/
武汉华太餐饮管理有限公司,湖北省武汉市,郭松,13517241776,13517241776,11,保密,无,否,否,否,否,否,https://web.tansent.com/3045/
安徽省金六顺餐饮文化发展有限公司,安徽省合肥市,张先生,,4006298788,11,保密,无,否,否,否,否,否,https://web.tansent.com/3052/
昆明食臣餐饮管理有限公司,云南省昆明市,李先生,,0871-8158699,11,保密,无,否,否,否,否,否,https://web.tansent.com/3065/
上海鑫康餐饮管理有限公司,上海市市辖区,侯先生,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/3073/
东莞市众佳膳食管理服务有限公司,广东省东莞市,彭生,76985085629,76985085629,11,保密,无,否,否,否,否,否,https://web.tansent.com/3074/
合肥徐谱餐饮服务有限公司,安徽省合肥市,徐经理,15155925259,15155925259,11,保密,无,否,否,否,否,否,https://web.tansent.com/3121/
上海御龙餐饮管理有限公司,上海市市辖区,乔明立,,021-57762513,11,保密,无,否,否,否,否,否,https://web.tansent.com/3135/
东莞市尚佳膳食管理服务有限公司,广东省,杨小姐,13751263788,13751263788,11,保密,无,否,否,否,否,否,https://web.tansent.com/3146/
北京天锄快餐有限责任公司,北京市市辖区,zhangdawei,13522431377,13522431377,11,保密,无,否,否,否,否,否,https://web.tansent.com/3157/
上海群拥餐饮管理有限公司,上海市市辖区,丁延杰,,021-37691738,11,保密,无,否,否,否,否,否,https://web.tansent.com/3172/
厦门速食客餐饮管理有限公司,福建省厦门市,郑泽斌,,5925797152,11,保密,无,否,否,否,否,否,https://web.tansent.com/3175/
吴江市鸿鑫餐饮管理有限公司,江苏省苏州市,沈雅云,13606257570,13606257570,11,保密,无,否,否,否,否,否,https://web.tansent.com/3205/
南京金酌楼餐饮管理有限公司,江苏省南京市,姚学勇,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/3210/
济南健力源餐饮管理有限公司,山东省济南市,公先生,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/3218/
上海谷道餐饮管理有限公司,上海市市辖区,孙立涛,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/3241/
北京玉观音快餐有限公司,北京市市辖区,哈斯巴干,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/3253/
广州市思香谷膳食服务有限公司,广东省广州市,林先生,,2034629009,11,保密,无,否,否,否,否,否,https://web.tansent.com/3254/
东莞市真膳美膳食管理有限公司,广东省东莞市,胡小姐,18926897467,0769-22611997、0769-22611997、18926897467,11,保密,无,否,否,否,否,否,https://web.tansent.com/3258/
武汉众生源餐饮管理有限公司,湖北省武汉市,靖先生,,027-81733117,11,保密,无,否,否,否,否,否,https://web.tansent.com/6117/
惠州市金港饮食管理服务有限公司,广东省惠州市,贺铁山,15014966886,15014966886、15014966886、07523802886,11,保密,无,否,否,否,否,否,https://web.tansent.com/7770/
杭州先福餐饮管理有限公司,浙江省杭州市,王先生,,0571-88863600,11,保密,无,否,否,否,否,否,https://web.tansent.com/8670/
大连伟烨餐饮管理有限公司,辽宁省大连市,邬学孟,15940817877,15940817877,11,保密,无,否,否,否,否,否,https://web.tansent.com/9151/
广州旭丰餐饮企业管理咨询有限公司,广东省广州市,罗先生,13202072627,13202072627,11,保密,无,否,否,否,否,否,https://web.tansent.com/9544/
广州益谷饮食管理服务有限公司,广东省广州市,陈先生,,020-34912692,11,保密,无,否,否,否,否,否,https://web.tansent.com/9859/
青岛绿色家园餐饮管理服务有限公司,山东省青岛市,毕经理,,0532-88901755,11,保密,无,否,否,否,否,否,https://web.tansent.com/10468/
东莞市九鼎膳食管理服务有限公司,广东省东莞市,周小姐,,0769-33287149,11,保密,无,否,否,否,否,否,https://web.tansent.com/10648/
青岛佳万福配餐有限公司,山东省青岛市,焦小姐,15154262879,15154262879,11,保密,无,否,否,否,否,否,https://web.tansent.com/10732/
南昌威尔讯餐饮管理有限公司,江西省南昌市,李经理,13755642002,13755642002,11,保密,无,否,否,否,否,否,https://web.tansent.com/10791/
中山市佳华饮食管理有限公司,广东省中山市,张秋莲,,0760-85339663,11,保密,无,否,否,否,否,否,https://web.tansent.com/11002/
东莞市康来富饮食管理有限公司,广东省东莞市,温世雄,,0769-83209225,11,保密,无,否,否,否,否,否,https://web.tansent.com/11541/
汕头市禾香餐饮管理有限公司,广东省汕头市,张主管,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/12421/
北京好亦嘉餐饮管理有限公司,北京市市辖区,刘先生,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/12763/
江门市合旺餐饮管理服务有限公司,广东省江门市,胡先生,,0750-3385258,11,保密,无,否,否,否,否,否,https://web.tansent.com/12862/
上海厨易配菜有限公司,上海市市辖区,唐先生,13916821714,021-56333650、021-56333650、13916821714,11,保密,无,否,否,否,否,否,https://web.tansent.com/13287/
上海德林坊餐饮有限公司,上海市市辖区,黄振明,,,11,保密,无,否,否,否,否,否,https://web.tansent.com/13351/
深圳市五洲风餐饮管理有限公司,广东省深圳市,余经理,13923428151,13923428151,10,保密,无,否,否,否,否,否,https://web.tansent.com/13913/
上海楚星湘鄂情餐饮服务有限公司,上海市市辖区,张舵,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/14353/
东莞市福兴膳食管理有限公司,广东省东莞市,梁经理,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/14446/
沈阳奇香餐饮服务有限公司,辽宁省沈阳市,郝总,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/14511/
好林诚佳食品有限公司,北京市市辖区,林国清,,010-61270123,10,保密,无,否,否,否,否,否,https://web.tansent.com/14721/
北京鲜来巧餐饮管理有限公司,北京市市辖区,石先生,,010-84470416,10,保密,无,否,否,否,否,否,https://web.tansent.com/15046/
广州绿科餐饮管理有限公司,广东省广州市,李生,,020-36862248,10,保密,无,否,否,否,否,否,https://web.tansent.com/15800/
上海沛浪餐饮管理有限公司,上海市市辖区,徐福荣,,021-59160225,10,保密,无,否,否,否,否,否,https://web.tansent.com/16394/
安徽闻香来餐饮管理有限公司,安徽省合肥市,赵先生,13856084399,13856084399,10,保密,无,否,否,否,否,否,https://web.tansent.com/16471/
广州顺承旭群餐饮管理有限公司,广东省广州市,谢亮,,020-81262630,10,保密,无,否,否,否,否,否,https://web.tansent.com/16681/
上海奇兵餐饮管理有限公司,上海市市辖区,向红荣,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/17019/
常州市思味特餐饮管理有限公司,江苏省常州市,王承峰,,0519-86190518,10,保密,无,否,否,否,否,否,https://web.tansent.com/17548/
漳州市克劳德餐饮管理有限责任公司,福建省漳州市,汤先生,13959609214,13959609214,10,保密,无,否,否,否,否,否,https://web.tansent.com/17681/
深圳市同庆餐饮管理有限公司,广东省深圳市,黎总,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/17762/
深圳市渝香饮食管理有限公司,广东省深圳市,张小姐,,0755-27283189,10,保密,无,否,否,否,否,否,https://web.tansent.com/17783/
北京埃顿酒店服务有限公司济南分公司,山东省济南市,王经理,,0531-86065011,10,保密,无,否,否,否,否,否,https://web.tansent.com/17852/
东莞市威士丁饮食有限公司,广东省东莞市,蒲丽平,,0769-86066988,10,保密,无,否,否,否,否,否,https://web.tansent.com/17927/
北京鑫海泉餐饮管理有限公司,北京市市辖区,王先生,13901258487,13901258487,10,5,无,否,否,否,否,否,https://web.tansent.com/17952/
青岛迪孚餐饮管理服务有限公司,山东省青岛市,李,15966867900,15966867900,10,保密,无,否,否,否,否,否,https://web.tansent.com/18029/
东莞市台膳膳食管理服务有限公司,广东省东莞市,陆苹丽,,0769-83729088,10,保密,无,否,否,否,否,否,https://web.tansent.com/18234/
上海金京阁餐饮有限公司,上海市市辖区,吴增卫,,021-50305718,10,保密,无,否,否,否,否,否,https://web.tansent.com/18385/
泰安市福润餐饮管理有限公司,山东省泰安市,李新,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/18422/
广州市芳香饮食管理有限公司,广东省广州市,曾生,13602290568,13602290568,10,保密,无,否,否,否,否,否,https://web.tansent.com/18443/
武汉烩众餐饮管理有限责任公司,湖北省武汉市,孙经理,,027-83773077,10,保密,无,否,否,否,否,否,https://web.tansent.com/18595/
北京亿食天下餐饮管理有限公司,北京市市辖区,任经理,13641146409,13641146409,10,保密,无,否,否,否,否,否,https://web.tansent.com/18896/
青岛大磊食堂管理有限公司,山东省青岛市,孙经理,,0532-87969312,10,保密,无,否,否,否,否,否,https://web.tansent.com/19010/
上海湘波餐饮管理有限公司,上海市市辖区,刘成波,,021-34970036,10,保密,无,否,否,否,否,否,https://web.tansent.com/19049/
哈尔滨华天餐饮管理服务有限公司,黑龙江哈尔滨市,颜先生,,0451-86668668,10,保密,无,否,否,否,否,否,https://web.tansent.com/19056/
东莞绿食源饮食服务有限公司,广东省东莞市,黄钰华,13929410006,13929410006,10,保密,无,否,否,否,否,否,https://web.tansent.com/19128/
江西金盟餐饮管理有限公司,江西省南昌市,刘勇,18679133110,18679133110,10,保密,无,否,否,否,否,否,https://web.tansent.com/19209/
东莞市食字入口膳食管理服务有限公司,广东省深圳市,王生,13434444400,13434444400,10,保密,无,否,否,否,否,否,https://web.tansent.com/19564/
东莞市华厨饮食服务管理有限公司,广东省东莞市,符月霞,13669849110,13669849110,10,保密,无,否,否,否,否,否,https://web.tansent.com/19731/
深圳市顺欣凯餐饮管理有限公司,广东省深圳市,李园生,,0755-83112512,10,保密,无,否,否,否,否,否,https://web.tansent.com/19993/
东莞市美新膳食管理服务有限公司,广东省东莞市,冯小姐,13342602772,13342602772,10,保密,无,否,否,否,否,否,https://web.tansent.com/20228/
河南华冉餐饮服务有限公司,河南省漯河市,胡先生,13613958080,13613958080,10,保密,无,否,否,否,否,否,https://web.tansent.com/20462/
南京华芝膳餐饮管理有限公司,江苏省南京市,张先生,13655179933,025-13655179,10,保密,无,否,否,否,否,否,https://web.tansent.com/20566/
深圳市尚上好餐饮管理有限公司,广东省深圳市,刘,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/20635/
湖南天顺餐饮管理有限公司,湖南省长沙市,郑先生,13875855066,13875855066,10,保密,无,否,否,否,否,否,https://web.tansent.com/20766/
安徽鼎盛餐饮管理有限公司,安徽省合肥市,尹国兵,13866783069,13866783069,10,保密,无,否,否,否,否,否,https://web.tansent.com/20848/
佛山市南海区金时达膳食管理有限公司,广东省佛山市,刘小姐,,0757-88778204,10,保密,无,否,否,否,否,否,https://web.tansent.com/20891/
合肥乐客餐饮管理有限公司,安徽省合肥市,邸经理,,0551-5746579,10,保密,无,否,否,否,否,否,https://web.tansent.com/20929/
深圳泛华餐饮管理有限公司,广东省深圳市,李芳,,0755-82325412,10,保密,无,否,否,否,否,否,https://web.tansent.com/21017/
合肥贵客餐饮管理有限公司,安徽省合肥市,钱经理,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/21076/
资阳市强宇饮食服务有限公司,四川省资阳市,许生强,15928369966,15928369966,10,保密,无,否,否,否,否,否,https://web.tansent.com/21126/
东莞市众厨膳食管理有限公司,广东省东莞市,胡灯佑,,0769-89786080,10,保密,无,否,否,否,否,否,https://web.tansent.com/21791/
杭州简吃餐饮管理有限公司,浙江省杭州市,韩先生,,0571-88888888,10,保密,无,否,否,否,否,否,https://web.tansent.com/22768/
合肥市食客家餐饮有限责任公司,安徽省合肥市,柏培圣,13514981909,13514981909,10,保密,无,否,否,否,否,否,https://web.tansent.com/22926/
上海万康餐饮管理有限公司,上海市市辖区,任先生,,021-64920389,10,保密,无,否,否,否,否,否,https://web.tansent.com/22977/
厦门乐迎餐饮管理有限公司,福建省厦门市,郭凤增先生,,0592-5135162,10,保密,无,否,否,否,否,否,https://web.tansent.com/23213/
东莞市三合餐饮管理有限公司,广东省东莞市,朱义国,,0769-87714595,10,保密,无,否,否,否,否,否,https://web.tansent.com/23534/
北京快吉客餐饮管理有限公司,北京市市辖区,任笑飞,,010-83488166,10,保密,无,否,否,否,否,否,https://web.tansent.com/24040/
东莞市永绅膳食管理有限公司,广东省东莞市,吴先生,,0769-27289727,10,保密,无,否,否,否,否,否,https://web.tansent.com/24742/
北京天隆瑞宸餐饮管理有限公司,北京市市辖区,马军,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/24754/
东莞市盛丰膳食管理服务有限公司,广东省东莞市,王磊,,0769-82328229,10,保密,无,否,否,否,否,否,https://web.tansent.com/24985/
北京俏龙阳饮食服务有限公司,北京市市辖区,贺少波,,010-64562910,10,保密,无,否,否,否,否,否,https://web.tansent.com/25191/
东莞市好味道膳食管理服务有限公司,广东省东莞市,周生,15999735935,15999735935,10,保密,无,否,否,否,否,否,https://web.tansent.com/25260/
东莞市稻园膳食管理有限公司,广东省东莞市,何卫邦,76922335417,76922335417,10,保密,无,否,否,否,否,否,https://web.tansent.com/25724/
中山市鸿佳肴膳食管理服务有限公司,广东省中山市,廖先生,76088720366,76088720366,10,保密,无,否,否,否,否,否,https://web.tansent.com/25956/
北京洁成源餐饮管理服务有限公司,北京市市辖区,张晓娟,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/26129/
广州市粤膳堂餐饮管理有限公司,广东省广州市,彭生,,020-32353713,10,保密,无,否,否,否,否,否,https://web.tansent.com/26592/
上海恒诺餐饮管理有限公司,上海市市辖区,徐进,18616570796,021-37528607、021-37528607、18616570796,10,保密,无,否,否,否,否,否,https://web.tansent.com/26902/
东莞市瑞康膳食管理有限公司,广东省东莞市,李刚,13480075006,0769-83530188、0769-83530188、13480075006,10,保密,无,否,否,否,否,否,https://web.tansent.com/27044/
上海欣蓝餐饮企业管理有限公司,上海市市辖区,刘先生,,021-57678123,10,保密,无,否,否,否,否,否,https://web.tansent.com/27134/
惠州市康民饮食服务有限公司,广东省惠州市,谢经理,13923620567,13923620567,10,保密,无,否,否,否,否,否,https://web.tansent.com/27294/
北京京城汇餐饮管理有限公司,北京市市辖区,张立鹏,,1061231033,10,保密,无,否,否,否,否,否,https://web.tansent.com/28184/
苏州佳胜餐饮管理有限公司,江苏省苏州市,刁仁春,51265189859,51265189859,10,保密,无,否,否,否,否,否,https://web.tansent.com/28351/
苏州鼎韵餐饮管理有限公司,江苏省苏州市,韦雉,,0512-69351289,10,保密,无,否,否,否,否,否,https://web.tansent.com/28593/
深圳市食德康餐饮管理有限公司,广东省深圳市,宁美心,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/28635/
南昌致诚餐饮管理有限公司,江西省南昌市,查先生,18607913100,18607913100,10,保密,无,否,否,否,否,否,https://web.tansent.com/28649/
青岛米霖泰思餐饮管理有限公司,山东省青岛市,于先生,13515421776,13515421776,10,保密,无,否,否,否,否,否,https://web.tansent.com/28668/
昆山市共青团膳餐饮服务有限公司,江苏省苏州市,黄伟,51257579100,51257579100,10,保密,无,否,否,否,否,否,https://web.tansent.com/29097/
北京兴隆佳快餐有限责任公司,北京市市辖区,张先生,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/29493/
邵阳市迈海后勤服务有限公司,湖南省邵阳市,何栋,,7392993678,10,保密,无,否,否,否,否,否,https://web.tansent.com/29535/
合肥市一点利餐饮有限公司,安徽省合肥市,王恩成,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/29648/
开封市裕和餐饮管理有限公司,河南省郑州市,李俊峰,37163910670,37163910670,10,保密,无,否,否,否,否,否,https://web.tansent.com/29908/
东莞市百益膳食管理服务有限公司,广东省东莞市,陈生,13723561011,13723561011,10,保密,无,否,否,否,否,否,https://web.tansent.com/30310/
惠州市佳华餐饮管理有限公司,广东省惠州市,李小姐,,0752-3251362,10,保密,无,否,否,否,否,否,https://web.tansent.com/30335/
成都粒粒香餐饮管理有限公司,四川省成都市,刘成强,13568545188,13568545188,10,保密,无,否,否,否,否,否,https://web.tansent.com/30495/
五芳斋餐饮有限公司,浙江省嘉兴市,俞美娟,,0573-82069951,10,保密,无,否,否,否,否,否,https://web.tansent.com/30886/
广安鑫众饮食文化服务有限公司,四川省广安市,刘力,,8266261222,10,保密,无,否,否,否,否,否,https://web.tansent.com/30915/
深圳市品尚缘饮食服务有限公司,广东省深圳市,刘生,,0755-82408387,10,保密,无,否,否,否,否,否,https://web.tansent.com/30921/
北京榕城京元餐饮管理有限公司,北京市市辖区,李经理,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/30948/
上海汇全餐饮管理有限公司,上海市市辖区,宋先生,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/30955/
惠州市丰佳餐饮管理服务有限公司,广东省惠州市,丁當,,0752-3290088,10,保密,无,否,否,否,否,否,https://web.tansent.com/30957/
德州市祥和餐饮管理有限公司,山东省德州市,杨运春,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/30962/
东莞市方园膳食管理服务有限公司,广东省东莞市,高小姐,13712913164,13712913164,10,保密,无,否,否,否,否,否,https://web.tansent.com/30970/
扬州市嘉和饮食管理有限公司,江苏省扬州市,张经理,51487887118,51487887118,10,保密,无,否,否,否,否,否,https://web.tansent.com/31392/
东莞市蜀乐园膳食管理有限公司,广东省东莞市,杨芝军,76989295966,76989295966,10,保密,无,否,否,否,否,否,https://web.tansent.com/31806/
常州稳当餐饮管理有限公司,江苏省常州市,陆柄屹,,0519-82880286,10,保密,无,否,否,否,否,否,https://web.tansent.com/31827/
北京金典太阳餐饮管理有限公司,北京市市辖区,陈凯强,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/31836/
青岛美味达营养配餐有限公司,山东省青岛市,孙国斌,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/31892/
上海田雨餐饮管理有限公司,上海市市辖区,张俊,,021-54249399,10,保密,无,否,否,否,否,否,https://web.tansent.com/31936/
苏州市鸿德隆餐饮管理有限公司,江苏省苏州市,杨鑫,,512-66595955,10,保密,无,否,否,否,否,否,https://web.tansent.com/31951/
河南天添高校后勤管理服务有限公司,河南省郑州市,裴伟峰,13253653999,13253653999,10,保密,无,否,否,否,否,否,https://web.tansent.com/32442/
佛山市顺德区顺旺饮食管理有限公司,广东省佛山市,王生,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/32532/
青岛康益餐饮管理有限公司,山东省青岛市,陈先生,,0532-8891180,10,保密,无,否,否,否,否,否,https://web.tansent.com/32579/
绍兴市上虞市龙泉餐饮管理有限公司,浙江省绍兴市,陈法祥,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/32593/
北京健力源餐饮管理有限公司,北京市市辖区,岳经理,18640012917,18640012917,10,保密,无,否,否,否,否,否,https://web.tansent.com/32663/
鹤壁市民鑫餐饮管理有限公司,河南省鹤壁市,王经理,,0392-2232111,10,保密,无,否,否,否,否,否,https://web.tansent.com/32664/
河南新美餐饮管理有限公司,河南省郑州市,霍国平,13007505801,13007505801,10,保密,无,否,否,否,否,否,https://web.tansent.com/32674/
苏州富指山餐饮管理有限公司,江苏省苏州市,包寒宇,51267126735,51267126735,10,保密,无,否,否,否,否,否,https://web.tansent.com/32787/
南通东南餐饮管理有限公司,江苏省南通市,郑少东,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/32847/
佛山市壹品佳餐饮管理服务有限公司,广东省佛山市,唐易,,0757-63363555,10,保密,无,否,否,否,否,否,https://web.tansent.com/32891/
深圳市腾辉餐饮管理有限公司,广东省深圳市,罗建忠,13148609990,13148609990,10,保密,无,否,否,否,否,否,https://web.tansent.com/33784/
无锡市承林餐饮管理有限公司,江苏省无锡市,张先生,,0510-83252077,10,保密,无,否,否,否,否,否,https://web.tansent.com/33843/
昆山市通达餐饮管理有限公司,江苏省苏州市,张敏,15250152967,15250152967,10,保密,无,否,否,否,否,否,https://web.tansent.com/33949/
东莞市创胜饮食管理服务有限公司,广东省东莞市,刘生,13826915601,13826915601,10,保密,无,否,否,否,否,否,https://web.tansent.com/33953/
广州穗达饮食管理有限公司,广东省广州市,王小姐,13128660731,13128660731,10,保密,无,否,否,否,否,否,https://web.tansent.com/34084/
东莞市名邦膳食服务管理有限公司,广东省东莞市,彭竟波,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/34120/
上海沪鑫餐饮管理有限公司,上海市市辖区,陈先生,18701987191,18701987191,10,保密,无,否,否,否,否,否,https://web.tansent.com/34126/
广元市育星教育后勤管理有限公司,四川省广元市,任子明,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/34310/
沈阳格林自由餐饮服务有限公司,辽宁省沈阳市,徐经理,,024-88081396,10,保密,无,否,否,否,否,否,https://web.tansent.com/34623/
东莞市好地方膳食管理有限公司,广东省东莞市,彭先生,,0769-82603761,10,保密,无,否,否,否,否,否,https://web.tansent.com/34720/
上海十品餐饮管理有限公司,上海市市辖区,刘先生,,4000880186,10,保密,无,否,否,否,否,否,https://web.tansent.com/34912/
广州市宝隆饮食管理服务有限公司,广东省,谢一峰,13826128878,020-86869568、020-86869568、13826128878,10,保密,无,否,否,否,否,否,https://web.tansent.com/35136/
长沙合立餐饮管理有限公司,湖南省长沙市,张经理,,0731-83889560,10,保密,无,否,否,否,否,否,https://web.tansent.com/35161/
上海新迎园餐饮管理有限公司,上海市市辖区,赵丰,13764500528,13764500528,10,保密,无,否,否,否,否,否,https://web.tansent.com/35641/
杭州宇雁餐饮管理有限公司,浙江省杭州市,黄仕阳,,0571-28920388,10,保密,无,否,否,否,否,否,https://web.tansent.com/35782/
佛山市美滋源餐饮管理有限公司,广东省佛山市,罗先生,15919025560,15919025560,10,保密,无,否,否,否,否,否,https://web.tansent.com/35834/
佛山市团膳农产品有限公司,广东省佛山市,张明伟,,0757-88776780,10,保密,无,否,否,否,否,否,https://web.tansent.com/35836/
北京紫祥百佳餐饮管理有限责任公司,北京市市辖区,吴先生,13031022996,13031022996,10,保密,无,否,否,否,否,否,https://web.tansent.com/35839/
淮安味特美餐饮管理有限公司,江苏省淮安市,王先生,,,10,保密,无,否,否,否,否,否,https://web.tansent.com/35842/
上海百福餐饮管理有限公司,上海市市辖区,汪先生,,021-60545687,10,保密,无,否,否,否,否,否,https://web.tansent.com/35846/
昆山市顺龙团膳有限公司,江苏省苏州市,孙小姐,51257168139,51257168139,10,保密,无,否,否,否,否,否,https://web.tansent.com/35860/
安徽滨扬餐饮管理有限公司,安徽省合肥市,邱总,,0551-2912277,10,保密,无,否,否,否,否,否,https://web.tansent.com/35864/
深圳市龙福饮食管理有限公司,广东省深圳市,张女士,,0755-83110225,10,保密,无,否,否,否,否,否,https://web.tansent.com/36253/
上海浔阳餐饮管理有限公司,上海市市辖区,罗先生,13501736566,13501736566,10,保密,无,否,否,否,否,否,https://web.tansent.com/36255/
珠海市源生食堂管理服务有限公司,广东省珠海市,姚先生,,0756-8614788,10,保密,无,否,否,否,否,否,https://web.tansent.com/36261/
上海启鑫餐饮管理有限公司,上海市市辖区,王厚启,,021-60456252,10,保密,无,否,否,否,否,否,https://web.tansent.com/36272/
广州米然餐饮管理有限公司,广东省广州市,罗小姐,,2038085013,10,保密,无,否,否,否,否,否,https://web.tansent.com/36285/
汕头市杨家坊餐饮管理有限公司,广东省汕头市,杨小姐,,0754-86350378,10,保密,无,否,否,否,否,否,https://web.tansent.com/36420/
泉州食之堂餐饮管理有限公司,福建省泉州市,陈总,15959542327,15959542327,10,保密,无,否,否,否,否,否,https://web.tansent.com/36421/
南京绿旺餐饮管理有限公司,江苏省南京市,许灵健,,4000002503,10,保密,无,否,否,否,否,否,https://web.tansent.com/36430/
苏州鹏程餐饮管理有限公司,江苏省苏州市,小谢,13862574665,13862574665,10,保密,无,否,否,否,否,否,https://web.tansent.com/36434/
上海芬芳餐饮企业管理有限公司,上海市市辖区,朱总,,021-58161007,10,保密,无,否,否,否,否,否,https://web.tansent.com/36436/
